Gene_ID	Plastochron3_Rep1	Plastochron3_Rep2	Plastochron3_Rep3	Plastochron4_Rep1	Plastochron4_Rep2	Plastochron4_Rep3	Plastochron5_Rep1	Plastochron5_Rep2	Plastochron5_Rep3
LOC_Os06g17950	66.2837488179	56.3579294424	77.5635828844	53.3334107423	58.0267802891	60.6243595586	46.4345028049	40.9072645217	33.274439907
LOC_Os06g17930	0	0.722537557	0	1.1908693084	0.6447420032	3.0695878258	4.9751253005	1.9479649772	0
LOC_Os06g17920	0.747198623	6.2282737409	5.8325371382	6.085853582	5.0999092454	5.9856962602	9.966834352	4.7335548946	12.0827809912
LOC_Os06g17910	1.2051590694	2.1676126709	0	0.7305946677	0.6447420032	0.7673969564	0	0	0
LOC_Os06g17900	14.3172897447	5.3323271703	11.8788321819	69.4357172185	86.4534552108	53.8712663419	126.0199238622	98.5085888981	127.2539361193
LOC_Os06g17890	0	0	0	0	0.6447420032	0	1.6583751002	0	0
LOC_Os06g17880	72.309544165	87.4270443914	81.228004123	39.4521120559	44.4871982217	49.8808021685	77.9436297082	58.4389493166	27.0354824244
LOC_Os06g17870	31.3341358048	20.2310515947	37.2549492594	32.8767600466	22.5659701124	31.4632752139	91.2106305096	58.4389493166	56.150617343
LOC_Os06g17860	0	0	0	0	0	0	0	0	0
LOC_Os06g17850	0	0	0	0	0	0	0	0	0
LOC_Os06g17840	5182.7865780276	7064.2496943397	5677.4099723864	4181.1932832618	5452.5831211695	4710.282518615	1565.5060945646	1310.9804296702	892.170920006
LOC_Os06g17830	33.7444539437	25.2888144934	35.4227386401	30.6849760435	27.7239061381	26.0914965189	18.2421261019	11.6877898633	8.3186099767
LOC_Os06g17730	0	0	0	0	0	0	0	0	0
LOC_Os06g17720	0	0	0	0	0	0	0	0	0
LOC_Os06g17700	0	0	0	0	0	0	0	0	0
LOC_Os06g17690	0	0	0	0	0	0	0	0	0
LOC_Os06g17600	0	0	0	0.7305946677	0	0	0	0	0
LOC_Os06g17590	0	0	0	0	0	0	0	0	0
LOC_Os06g17580	0	0	0	0	0.6447420032	0.7673969564	0	1.9479649772	0
LOC_Os06g17570	0.6025795347	0	0	15.3424880218	12.250098061	15.3479391288	3.3167502003	38.9592995444	4.1593049884
LOC_Os06g17560	0.6025795347	0	0	0.7305946677	1.9342260096	1.5347939129	3.3167502003	3.8959299544	6.2389574826
LOC_Os06g17540	0	0	0	0	0	0	0	0	0
LOC_Os06g17510	0	0	0	0	0	0	0	0	0
LOC_Os06g17500	83.993561343	80.5846137271	78.1193534389	17.7023087984	35.5639688972	15.6855937896	13.2670008014	6.155569328	6.446922732
LOC_Os06g17490	736.3521914138	666.1796275116	643.7166642529	313.4251124444	375.884587873	356.8395847436	102.8192562108	56.4909843394	2.0796524942
LOC_Os06g17480	0	0	0	0	0.6447420032	0	0	0	0
LOC_Os06g17470	0	0	0	0	0	0	0	0	0
LOC_Os06g17460	0	0	0	0	0	0	0	0	0
LOC_Os06g17450	0	0	0	5.1141626739	1.2894840064	5.3717786951	0	3.8959299544	2.0796524942
LOC_Os06g17440	320.5723124649	390.8928183121	448.8916017324	360.1831711774	397.161073979	367.5831421337	76.285254608	81.8145290433	118.5401921686
LOC_Os06g17430	0	0	0	0	0	0	0	0	0
LOC_Os06g17410	0	0.722537557	1.2214737462	44.5662747299	30.302874151	32.9980691268	177.4461357187	124.6697585422	116.4605396744
LOC_Os06g17400	3.0128976735	1.4450751139	6.1073687311	2.9223786708	0	0.7673969564	0	0	0
LOC_Os06g17390	263.3272566676	336.7025015406	332.2408589693	612.2383315347	536.4253466729	569.4085416768	1036.4844376089	763.6022710709	1430.8009160003
LOC_Os06g17300	0	0	0	0	0	0	0	0	0
LOC_Os06g17290	2194.5946654083	2417.6106655683	2342.7866452317	1343.563593905	1698.2504364622	1540.933088527	550.5805332579	477.2514194193	455.4438962268
LOC_Os06g17285	77.1301804427	77.3115185941	86.1138991079	175.3427202486	168.2776628385	141.968436941	444.4445268467	572.7017033032	376.4171014478
LOC_Os06g17280	236.8137571404	317.9165250598	278.496014136	311.2333284413	320.4367755967	267.8215377968	247.097889926	220.120042426	222.522816878
LOC_Os06g17270	0	0	0	0	0	0	0	0	0
LOC_Os06g17260	0	0	0	0	0	0.7673969564	1.6583751002	1.9479649772	0
LOC_Os06g17250	9.6412725553	6.5028380126	9.7717899697	10.2283253478	12.8948400643	11.5109543466	8.2918755009	0	4.1593049884
LOC_Os06g17220	0.6025795347	0	0	0	0	0	0	0	0
LOC_Os06g17140	0	0	0	0	0.6447420032	0.7673969564	0	0	0
LOC_Os06g17130	0	0	0	0	0	0	0	0	0
LOC_Os06g17120	0	0	0	0	0	0	0	0	0
LOC_Os06g17110	0	0	0	0	0	0	0	0	0
LOC_Os06g17090	0	0	0	0	0	0	0	1.9479649772	4.1593049884
LOC_Os06g17050	0	0	0	0	0	0	0	0	0
LOC_Os06g17020	0.6025795347	0.722537557	0.6107368731	34.337949382	16.7632920835	20.7197178238	72.9685044077	56.4909843394	103.9826247093
LOC_Os06g17000	0	0	0	0	0	0	0	0	0
LOC_Os06g16990	0	0	0	0	0	0	0	0	0
LOC_Os06g16980	1146.1725587643	1395.9425600353	1135.3598471026	1349.4083512466	1541.5781296814	1443.4736750594	527.8939618875	393.4889253988	368.098491471
LOC_Os06g16970	0	0	0	0	0	0	0	0	0
LOC_Os06g16960	0	0	0	1.4611893354	0	0	23.2172514024	9.7398248861	24.9558299302
LOC_Os06g16950	0	0	0	0	0	0	0	0	0
LOC_Os06g16919	0	0	0	0	0	0	0	0	0
LOC_Os06g16820	0	0	0	0	0	0	0	0	0
LOC_Os06g16810	0	0	0	0	0	0	0	0	0
LOC_Os06g16790	0	0	0	0	0	0	0	0	0
LOC_Os06g16780	0.6688632835	1.4450751139	0.7023474041	1.0228325348	0	0.9208763477	0	0	0
LOC_Os06g16750	0	0	0	0	0	0	0	0	0
LOC_Os06g16740	0	0	0	0	0	0	0	0	0
LOC_Os06g16730	0	0	0	0	0	0	0	0	0
LOC_Os06g16640	0	0	0	12.4201093509	1.2894840064	0.7673969564	39.8010024042	38.9592995444	85.2657522616
LOC_Os06g16630	0	0	0	0	0	0	0	0	0
LOC_Os06g16620	0	0	0	0	0	0	0	0	0
LOC_Os06g16610	0	0	0	0	0	0	0	0	0
LOC_Os06g16590	0	0	0	0	0	0	0	0	0
LOC_Os06g16560	0	0	0	0	0	0	0	0	0
LOC_Os06g16550	0	0	0	0	0	0	0	0	0
LOC_Os06g16500	0	0	0	0	0	0	0	0	0
LOC_Os06g16480	0	0	0	0	0	0	0	0	0
LOC_Os06g16460	0	0	0	0	0	0	0	0	0
LOC_Os06g16450	0	0	0	0	0	0	0	0	0
LOC_Os06g16440	0	0	0	0	0	0	0	0	0
LOC_Os06g16430	496.5255365998	646.6711134739	524.6229739974	374.0644698637	395.8715899726	390.6050508268	359.8673967378	290.246781606	197.5669869477
LOC_Os06g16420	3.0128976735	2.8901502278	3.0536843655	128.5846615156	76.0795563791	67.5232581969	771.144421581	475.3034544421	717.4801104943
LOC_Os06g16410	292.8536538683	307.8009992624	307.811384045	292.9684617487	290.1339014457	334.5850730069	597.0150360628	506.4708940776	418.0101513315
LOC_Os06g16400	406.1386063935	467.4817993493	463.5492866868	81.096008115	92.1981064595	94.3898256418	92.8690056097	87.658423975	39.5133973895
LOC_Os06g16390	2219.903005866	2757.2033173367	2424.0146493547	1202.5588230384	1482.9066073891	1135.7474955279	572.1394095601	475.3034544421	366.0188389768
LOC_Os06g16380	0.6025795347	0	0	0	0	0	0	0	0
LOC_Os06g16370	3.0128976735	4.3352253417	5.4966318579	2.1917840031	3.8684520193	0	3.3167502003	0	0
LOC_Os06g16360	0	0	0	0	0	0	0	0	0
LOC_Os06g16350	0	1.4450751139	0	161.4614215623	165.6986948257	189.5470482401	338.3085204356	559.0659484626	756.9935078839
LOC_Os06g16340	0	0	0	0	0	0	0	0	0
LOC_Os06g16330	200.0564055232	108.3806335431	153.9056920225	100.822064143	121.211496604	115.8769404221	260.3648907274	187.0046378133	266.1955192559
LOC_Os06g16300	0	0	0	1.4611893354	0.6447420032	0.7673969564	6.6335004007	3.8959299544	18.7168724477
LOC_Os06g16290	3147.2729097824	3104.7438822316	3716.9446097186	1316.5315912	1575.1047138486	1147.2584498745	150.9121341159	313.6223613327	10.3982624709
LOC_Os06g16280	1058.7322424828	1171.2333798225	931.3737314855	488.767832693	619.5970650874	610.080580368	197.3466369207	200.6403926538	114.3808871803
LOC_Os06g16270	194.6331897108	162.5709503147	169.1741138502	162.9226108977	201.1595050024	181.8730786758	41.4593775044	72.0747041572	64.4692273198
LOC_Os06g16260	471.8197756767	499.2734518552	328.5764377306	222.1007789816	256.6073172786	225.6147051927	210.6136377221	229.8598673122	103.9826247093
LOC_Os06g16250	0	0	0	0	0.6447420032	0.7673969564	4.9751253005	0	0
LOC_Os06g16240	74.1172827691	44.0747909742	59.2414766912	39.4521120559	37.3950361863	39.1372447783	39.8010024042	66.2308092255	45.7523548721
LOC_Os06g16210	0	0	0	0	0	0	0	0	0
LOC_Os06g16200	28.3212381313	13.7282135821	17.7113693201	27.032002705	25.7896801285	23.7893056496	0	3.8959299544	0
LOC_Os06g16190	0	0	0	0	0	0	0	0	0
LOC_Os06g16170	3.6154772083	2.8901502278	3.0536843655	3.6529733385	14.1843240707	3.8369847822	1.6583751002	5.8438949317	0
LOC_Os06g16160	0	0	0	0	0	0	0	0	0
LOC_Os06g16150	0	0	0	0	0	0	0	0	0
LOC_Os06g16140	0.6025795347	2.1676126709	0.6107368731	0.7305946677	0	0.7673969564	0	0	0
LOC_Os06g16120	0.6025795347	0	0	0	0	0.7673969564	0	0	0
LOC_Os06g16110	0	0	0	0	0	0	0	0	0
LOC_Os06g16070	0	0	0	0	0	1.5347939129	0	0	0
LOC_Os06g16060	0	0	0	0	0	0	0	0	0
LOC_Os06g16030	1.2051590694	2.1676126709	0.6107368731	1.4611893354	4.5131940225	3.8369847822	6.6335004007	11.6877898633	4.1593049884
LOC_Os06g16020	0	0	0	0	0	0	0	0	0
LOC_Os06g16000	2.4103181388	0.722537557	1.2214737462	28.4931920404	26.4344221317	27.6262904318	9.950250601	27.2715096811	14.5575674593
LOC_Os06g15995	0	0	0	0	0	0	3.3167502003	0	0
LOC_Os06g15990	365.1631980333	510.1115152096	498.3612884539	1728.5869837843	1759.5009267674	1771.9195724148	5457.7124546737	6101.0263086582	2703.5482424424
LOC_Os06g15980	0	0	0	0	0	0	0	0	0
LOC_Os06g15910	53.6295785891	50.5776289868	67.1810560416	157.0778535561	108.9613985429	108.2029708577	815.9205492858	257.1313769933	578.1433933838
LOC_Os06g15900	0	0	0	0	0	0	0	0	0
LOC_Os06g15890	0	0	0	0	0	0	0	0	0
LOC_Os06g15830	0	0	0	0	0	0	0	0	0
LOC_Os06g15820	374.8044705887	325.8644381863	360.9454920052	363.8361445159	464.8589843163	415.9291503893	61.3598787064	95.4502838839	35.3540924012
LOC_Os06g15810	24.705760923	26.0113520503	26.2616855435	14.6118933541	18.05277609	23.0219086931	16.5837510017	31.1674396355	18.7168724477
LOC_Os06g15800	0	0	0	0	0	0	0	0	0
LOC_Os06g15779	151.8500427465	176.2991638968	176.5029563274	143.9271495374	165.6986948257	174.9665060678	203.9801373214	181.1607428816	274.5141292326
LOC_Os06g15760	0	0	1.2214737462	387.2151738824	210.1858930473	204.1275904124	1179.1046962239	644.7764074604	765.3121178606
LOC_Os06g15750	0	0	0	0	0	0	0	0	0
LOC_Os06g15740	0	0	0	0	0	0	0	0	0
