Gene_ID	Roots_Control_full_fertilizer	Roots_Control_water	Roots_Ammonium_stress	Roots_Nitrate_stress	Roots_Urea_stress	Shoots_Control_full_fertilizer	Shoots_Control_water	Shoots_Ammonium_stress	Shoots_Nitrate_stress	Shoots_Urea_stress
Sobic.001G032200	5.935	6.141	5.18	5.55	5.649	18.251	8.699	13.772	16.044	15.882
Sobic.001G032300	0.136	0.233	0.23	0.147	0.131	0.007	0.197	0.08	0.046	0.088
Sobic.001G032400	0.018	0.253	0.099	0.045	0.036	0.295	0.858	0.228	0.177	0.307
Sobic.001G032550	1.462	1.709	1.073	1.688	1.324	1.475	1.346	1.136	1.299	1.505
Sobic.001G032700	3.714	2.634	2.051	1.92	2.027	6.249	5.43	5.825	7.475	6.028
Sobic.001G032800	40.897	40.608	46.447	45.82	42.611	38.967	71.595	53.944	52.291	49.888
Sobic.001G032850	0	0	0	0	0	0	0	0	0	0
Sobic.001G032900	1.606	1.368	1.765	1.621	1.56	2.036	1.863	1.564	1.267	0.8
Sobic.001G033000	2.661	3.12	3.081	3.428	3.265	2.358	3.148	2.684	2.955	2.531
Sobic.001G033100	18.841	18.379	18.647	17.257	13.693	62.347	110.035	77.289	72.225	64.941
Sobic.001G033200	10.43	17.535	11.756	12.229	10.983	6.252	8.525	5.954	5.63	6.17
Sobic.001G033300	7.106	3.191	4.348	3.101	3.587	40.104	22.665	36.088	36.231	35.265
Sobic.001G033400	8.618	12.5	7.842	7.406	7.664	11.036	15.793	10.868	11.735	11.598
Sobic.001G033500	22.494	26.882	26.269	24.779	24.949	17.94	21.76	16.851	17.885	17.291
Sobic.001G033600	0.922	1.002	0.898	0.932	1.02	0.694	0.511	0.581	0.751	0.55
Sobic.001G033701	0.036	0.221	0.193	0.17	0.554	0	0.017	0	0	0
Sobic.001G033800	0	0	0	0	0.019	0	0	0	0	0
Sobic.001G033900	0.768	0.649	0.494	0.736	0.898	1.346	0.955	1.019	0.963	0.908
Sobic.001G034000	0.554	0.585	0.608	0.591	0.53	0.959	0.751	0.739	0.802	0.715
Sobic.001G034050	0	0	0	0	0	0	0	0	0	0
Sobic.001G034100	9.702	11.399	10.125	9.278	8.935	3.515	7.23	7.073	7.879	8.948
Sobic.001G034200	0	0	0	0	0.029	0	0	0	0.025	0
Sobic.001G034300	1.437	1.86	1.816	1.845	2.405	2.302	2.405	2.86	2.89	3.213
Sobic.001G034400	0.046	0	0	0.037	0.1	0.045	0.338	0.05	0.106	0
Sobic.001G034500	16.859	22.223	20.585	18.561	18.859	24.688	42.139	24.535	22.381	21.178
Sobic.001G034600	14.443	13.123	16.332	16.502	15.104	13.681	14.006	14.874	14.852	15.328
Sobic.001G034700	922.074	784.45	791.533	843.147	809.427	615.574	822.878	601.897	557.151	597.05
Sobic.001G034900	0.24	0.219	0.357	0.421	0.528	0.532	0.991	0.438	0.312	0.249
Sobic.001G035000	0.396	0.215	0.347	0.362	0.169	0.069	0.097	0.039	0.041	0.083
Sobic.001G035100	0.146	0.079	0.102	0.125	0.206	0.015	0.124	0.026	0.064	0.074
Sobic.001G035200	22.322	21.049	27.411	25.476	26.133	15.353	16.457	21.243	22.645	19.287
Sobic.001G035300	0.869	1.031	0.799	0.639	0.344	0	0.016	0.014	0	0
Sobic.001G035400	112.632	94.028	116.7	111.882	114.847	88.038	102.082	83.181	85.993	73.765
Sobic.001G035450	0.052	0.075	0.014	0	0.02	0.02	0.096	0.016	0.037	0.014
Sobic.001G035500	31.157	38.281	35.004	28.456	26.21	16.561	21.849	17.733	18.915	18.52
Sobic.001G035600	70.982	58.056	66.661	59.436	77.809	50.143	56.154	68.284	51.602	69.428
Sobic.001G035700	0	0	0.025	0.026	0	0.031	0.064	0.089	0.059	0
Sobic.001G035800	1.203	1.63	1.64	1.439	2.284	40.218	58.364	46.002	33.804	40.836
Sobic.001G035900	5.352	6.476	3.916	4.044	3.82	9.007	6.46	4.705	4.634	4.772
Sobic.001G036050	4.933	5.545	4.719	4.375	4.617	6.958	6.185	4.777	4.751	5.046
Sobic.001G036200	0.026	0.047	0.042	0.075	0.024	0.028	0.107	0.063	0.012	0.074
Sobic.001G036300	35.435	30.622	36.386	38.031	38.225	19.946	15.614	20.547	21.394	23.168
Sobic.001G036400	0	0	0	0	0	0	0	0	0	0
Sobic.001G036600	0	0	0	0.085	0.033	0.107	0	0.077	0	0
Sobic.001G036700	18.052	18.458	17.566	16.281	14.64	13.099	14.266	12.484	11.636	11.278
Sobic.001G036800	7.744	9.56	8.716	10.315	10.093	4.856	10.227	5.873	5.645	6.603
Sobic.001G036900	185.712	159.465	217.102	250.699	239.221	173.182	144.248	158.472	162.749	141.134
Sobic.001G037000	17.419	15.417	11.278	12.438	12.41	20.661	16.854	11.552	9.64	9.568
Sobic.001G037033	0	0	0	0	0	0.081	0.026	0.081	0	0
Sobic.001G037066	0	0	0.022	0	0	0.027	0	0.061	0.026	0.022
