Gene_ID	Bundle.Sheath.Cells	Mesophyll.cells
GRMZM2G308687	215.6736592147	109.7742931681
GRMZM2G447632	53.7888477238	20.2925194056
GRMZM2G124974	46.1999187607	17.072673153
GRMZM2G141473	150.6680042918	25.3843692933
GRMZM2G424857	17.300290094	1.4227227628
GRMZM2G172204	78.0364012401	5.0169697423
GRMZM2G173718	27.9124509179	4.4179285791
GRMZM2G073693	10.7355580454	1.1980823265
GRMZM2G170625	7.255756472	1.1980823265
GRMZM2G127361	272.1649060327	51.0682591682
GRMZM2G312154	96.4719457455	27.705653801
GRMZM2G058261	67.9671881768	9.9590593393
GRMZM2G025867	21.7672694161	8.6860968673
GRMZM2G365774	21.0268861026	5.690891051
GRMZM2G136042	7.6259481288	0.2246404362
GRMZM2G107562	194.7208114434	152.2313356144
GRMZM2G121034	272.8312510148	216.1789797928
GRMZM2G170013	88.1056143033	60.9524383621
GRMZM2G161335	263.2062679397	114.5666224742
GRMZM2G056335	142.6348453406	84.9140848926
GRMZM2G085054	84.1075444105	59.3799553085
GRMZM2G083935	40.9431972351	9.1353777398
AC199541.4_FG001	26.2959473527	7.4505744681
AC199541.4_FG004	24.77816156	7.0761737411
AC199541.4_FG002	21.8536474718	6.5145726505
GRMZM2G074631	21.5451544221	6.6643329413
GRMZM2G043310	20.7307327772	8.3116961403
GRMZM2G073376	17.6211228607	6.6643329413
GRMZM2G036918	12.7345929917	0.5765771196
GRMZM2G070199	276.3727511729	65.2580467231
GRMZM2G010348	54.2700968776	31.2999007805
GRMZM2G310321	25.6507561805	4.6675290635
GRMZM2G407869	7.3297948034	1.2130583556
GRMZM2G067417	139.0069671046	69.563655084
GRMZM2G122481	138.7108137792	75.254546135
GRMZM2G152925	104.1595924591	73.257742255
GRMZM2G116517	87.5133076525	25.6090097295
GRMZM2G134738	83.4880903469	31.5619812895
GRMZM2G064753	24.4301814027	6.8577733167
GRMZM2G171664	108.2810595954	54.887146584
GRMZM2G170457	100.729149798	40.098317866
GRMZM2G053916	24.6547643387	9.0230575217
GRMZM2G157018	500.3510432451	290.3103237467
GRMZM2G113408	180.1057329411	98.8631862444
GRMZM2G321725	169.9920087734	107.003727788
GRMZM2G021331	152.9460050832	97.7399840633
GRMZM2G156068	137.5632196433	99.5905933926
GRMZM2G168762	133.5966160414	72.4690047258
GRMZM2G157758	93.7880562342	41.6271208372
GRMZM2G171628	81.1460111566	31.6368614349
GRMZM2G109244	1228.3699553831	449.2059923025
GRMZM2G123966	16.5105478904	3.9686477066
GRMZM2G069061	269.2033727788	150.8834929971
GRMZM2G018941	246.8067775462	128.7938501017
GRMZM2G173277	195.0169647688	140.0633119856
GRMZM2G143651	194.3506197867	99.1413125202
GRMZM2G137312	139.5992737553	56.6093899284
GRMZM2G004172	138.1925454597	96.258426922
GRMZM2G097040	107.0224079625	32.1984625254
GRMZM2G051613	87.0320584988	56.2349892014
GRMZM2G396397	80.8128386656	44.8906471721
GRMZM2G149414	78.4806312281	50.469218005
GRMZM2G030510	67.9085744954	41.1331198721
GRMZM2G145854	67.7450731828	41.109199829
GRMZM2G397658	51.9749086058	11.8310629745
GRMZM2G098290	807.313965011	664.037129478
GRMZM2G050514	322.6857840674	37.8519135037
GRMZM2G024104	154.8370674877	8.0121755587
GRMZM2G046601	7.6999864601	0.7488014541
GRMZM2G080466	559.4336316602	13.7405066824
GRMZM2G138258	7800.5305140891	805.3359638628
GRMZM2G456086	1551.6953483768	162.7145559715
GRMZM2G480850	3399.1368113203	363.1687052287
GRMZM2G056093	1292.8573419866	142.1225159843
GRMZM2G092545	664.6421005047	85.4382459105
GRMZM2G022958	516.7875528042	72.0346998825
GRMZM2G120579	549.0682652716	86.8609686733
GRMZM2G168552	615.036418502	110.8974953492
AC234522.1_FG005	573.8711062729	118.8347907625
GRMZM2G128072	663.3464297062	147.9257272535
GRMZM2G318635	786.6362932847	175.5065807871
GRMZM2G328908	1520.6362683766	357.3654939596
GRMZM2G448295	1307.8308015511	309.217203883
GRMZM2G430807	1164.1293629706	276.07061607
GRMZM2G161295	3492.0919363269	843.8992387479
GRMZM2G094978	888.3951926277	233.2516529459
GRMZM2G034243	733.8309211488	206.8938417622
GRMZM2G050730	729.3145829366	215.3552981933
GRMZM2G009320	2170.5817601089	836.8230650069
GRMZM2G052869	883.8695996241	364.0173468517
GRMZM2G164649	500.9433498958	220.3223478138
GRMZM2G035401	988.987988252	490.8474651401
GRMZM2G071423	995.8525757869	494.3961600562
GRMZM2G164113	1826.4515960066	930.0862861125
GRMZM2G096695	2113.6487510004	1289.2613838357
GRMZM2G371167	653.6770236322	417.2436696321
GRMZM2G094543	1178.468120055	797.473548595
GRMZM2G079782	1112.79612015	778.2293512251
GRMZM2G326270	2516.6739399918	1799.4073342264
GRMZM2G154223	929.3291350713	666.433294131
GRMZM2G419844	705.7772685455	516.5251150279
GRMZM2G130173	756.3262339097	569.9502267728
GRMZM2G405519	509.7270577715	392.4968215851
GRMZM2G169405	509.3590402503	406.418229189
GRMZM2G112425	399.3257401217	98.9541121566
GRMZM2G071166	369.9527068326	125.734936707
GRMZM2G005859	360.7887886554	276.9067777187
GRMZM2G132978	351.3489014086	282.8597492786
GRMZM2G151807	350.0902497757	115.1282235648
GRMZM2G165655	344.6263972076	40.6194480201
GRMZM2G080546	343.330726409	40.3199274385
GRMZM2G011373	340.3542092035	183.9805172674
GRMZM2G469380	323.3192231574	44.0669655726
GRMZM2G702184	321.5484730413	106.5544469156
GRMZM2G427054	317.9946331367	95.0977846681
GRMZM2G047002	315.5513682022	48.2976937881
GRMZM2G354801	311.6273366408	243.734873303
GRMZM2G149576	304.3974935847	73.3076623544
GRMZM2G138527	302.8908135418	245.6817570836
GRMZM2G081803	301.1138935895	250.5489665351
GRMZM2G410766	299.0284805652	41.9266414188
GRMZM2G473480	296.8196703713	62.3002809794
GRMZM2G090112	295.042750419	241.1889483591
GRMZM2G028379	288.66805009	178.9760275743
GRMZM2G113205	278.9834837792	119.8866785158
GRMZM2G108474	276.4961484165	221.2333896079
GRMZM2G113200	268.3219640652	118.089555026
GRMZM2G073567	267.7349458984	130.7532139315
GRMZM2G138550	265.9456861995	219.2490657546
GRMZM2G124791	263.8355937561	179.1133078159
GRMZM2G307600	260.0966580231	173.7968174919
GRMZM2G104876	258.5048338991	165.3353610608
GRMZM2G475293	258.3937764021	211.6112909229
GRMZM2G004880	255.4548660046	28.3421350369
GRMZM2G154648	249.9163874628	167.6441655193
GRMZM2G060079	247.7507662709	73.9067035177
GRMZM2G172214	246.9425144624	27.3125330376
AC203966.5_FG004	246.1404325641	24.2237270395
GRMZM2G136306	243.5120718013	194.9878986424
GRMZM2G169372	238.2183311099	153.2047775047
GRMZM2G075958	233.2577629097	42.6068027371
GRMZM2G043291	232.4063220992	83.391521961
GRMZM2G087549	231.7769962827	173.9840178554
GRMZM2G007928	230.9995938036	20.0678789693
GRMZM2G078118	228.8154630288	126.7720861757
GRMZM2G019363	228.3342138751	68.4404529029
GRMZM2G075624	227.6308497273	139.389390677
GRMZM2G109225	226.9645047452	89.5566539079
GRMZM2G021784	219.9678824328	130.1791327918
GRMZM2G090675	217.450579167	29.8771780178
GRMZM2G170137	217.3716049222	139.6290071423
GRMZM2G115621	215.2047498075	112.3451781355
GRMZM2G158333	210.6800969426	151.7211403427
GRMZM2G134020	204.6789670096	81.8814390036
GRMZM2G181371	204.6419478439	20.0304388966
GRMZM2G181376	204.6419478439	20.0304388966
GRMZM2G348125	203.1982003827	33.0658242072
GRMZM2G154508	200.7179162825	138.9401098045
GRMZM2G412441	200.0515713004	75.6913469583
GRMZM2G373420	196.127539739	108.2766902599
GRMZM2G457782	194.8688881061	14.3395478456
GRMZM2G176129	189.5381282491	98.018110339
GRMZM2G006363	182.3564101084	34.3325466696
GRMZM2G154509	177.9881485589	55.2615473111
GRMZM2G329040	177.9881485589	139.9509917675
GRMZM2G064136	176.0615653765	92.3693541961
GRMZM2G308595	175.6189219558	125.4242435584
GRMZM2G113480	172.4352737079	22.9882046402
GRMZM2G077222	169.7324339375	110.5831770281
GRMZM2G031501	168.6765943951	89.450573677
GRMZM2G179133	163.8961861838	96.1835467765
GRMZM2G086030	162.1069264849	118.1171893939
GRMZM2G471805	159.9474751293	19.5249979151
GRMZM2G319357	158.2445935083	122.5538380094
GRMZM2G048013	157.9607799295	98.1304305572
GRMZM2G004111	157.44251161	123.5272798997
GRMZM2G025783	156.9242432906	121.8299965788
GRMZM2G119950	153.4444417173	72.7086211911
GRMZM2G032348	153.1112692262	34.6695073239
GRMZM2G145236	151.7045409306	108.9131714959
GRMZM2G051697	148.6689693454	22.6138039132
GRMZM2G047512	147.0648054748	84.9515249654
GRMZM2G047262	145.4112827661	7.6377748316
GRMZM2G172244	144.4549542949	86.6612882605
GRMZM2G004397	144.0045544705	56.2349892014
GRMZM2G145133	143.9305161392	65.0708463595
GRMZM2G133483	141.8204236958	91.0916968888
GRMZM2G063882	136.4896638388	97.7185897574
GRMZM2G309970	136.2675488447	85.5880062013
GRMZM2G066496	135.5641846969	61.8010800076
GRMZM2G072909	132.6766897744	94.9480243773
GRMZM2G125529	127.271891586	57.3581913825
GRMZM2G081144	127.1978532547	53.2397833851
GRMZM2G373859	126.3834316098	2.6956852347
GRMZM2G149105	125.6924072086	81.369758035
