Gene	Maternal.transfer.zone_8DAP	Maternal.transfer.zone_14DAP	Maternal.transfer.zone_20DAP	Basal.endosperm.transfer.layer_8DAP	Basal.endosperm.transfer.layer_14DAP	Basal.endosperm.transfer.layer_20DAP
GRMZM2G175101	309.17191395	582.98956585	178.69622475	2786.4796545	3356.13378	1286.334461
GRMZM2G383699	194.91974235	607.5522608	230.27922985	170.93078665	121.030661665	16.4120681535
GRMZM2G169890	478.01895475	518.3333975	303.5632229	84.721770175	76.276163865	43.35659883
GRMZM2G022206	295.380747	522.09841915	400.83293475	119.84981415	280.05965815	257.8224847
GRMZM2G107597	184.84377095	573.37820775	638.7991694	75.07273626	78.38727623	47.51716421
AC194022.3_FG013	133.931362015	503.2591058	272.38333859	0	76.978421555	7.9538531345
GRMZM2G106906	556.90773095	554.48258115	447.52666785	275.28422665	104.259737395	65.47111452
GRMZM2G136635	270.02297595	694.7589381	454.8613837	55.07040039	113.9358347	15.1767882
GRMZM2G358827	326.7468933	554.14976775	264.98641745	236.46500665	78.530897165	54.19673851
GRMZM2G444748	455.1062863	650.1922273	502.59382875	391.9465699	172.65470445	86.298369
GRMZM2G090609	305.9129705	583.3613949	307.3290733	158.6601897	156.4717236	194.0022275
GRMZM2G132759	584.9802338	562.9272806	535.6048574	414.75798615	519.09334465	538.29929755
GRMZM2G027472	258.4429324	460.154946	741.0625845	4049.2336475	1694.636319	3604.8962205
AC155610.2_FG009	1167.484639	649.01444555	2113.815152	206.1378847	320.4538866	480.50053755
GRMZM2G060702	400.14031585	561.1397228	716.0445095	278.3991274	342.3523705	330.9168838
GRMZM2G082785	85.328716855	672.3171444	1086.6974297	1718.5727345	6946.8364435	9356.784731
GRMZM2G067601	654.0399623	530.9836937	790.17350325	201.9666339	304.18573625	263.043021
GRMZM2G123411	61.973651615	504.9476344	416.41939305	2130.456141	2645.3434815	4871.3556495
AC209208.3_FG002	501.0647046	597.397701	951.8201609	144.73008571	80.934630295	16.515671245
GRMZM2G313101	220.30492985	545.03938915	1146.3047574	57.98851039	210.9306375	143.82561155
GRMZM2G144030	519.7631939	511.3134036	438.86158585	248.8049597	315.08345565	278.09426445
GRMZM2G046804	518.225255	505.40051305	205.1425559	177.41661155	153.8030721	77.493981545
GRMZM2G168651	2241.037676	519.1995081	1431.248462	227.5464345	108.32413165	70.58592967
AC196417.3_FG008	187.78372745	406.30816995	2061.315904	6755.468514	3442.858877	7372.8035525
GRMZM2G079547	91.89519816	564.8707371	1184.247852	2203.426174	2454.146659	5019.6711995
