Gene_ID	Leaf.base	Minus.1cm	Plus.4cm	Leaf.tip
GRMZM2G178005	145.5266648	0.182692704	0	0
GRMZM2G178894	8.401477047	0.383826221	0	0
GRMZM2G180246	4.150501381	0.117887505	0	0
GRMZM2G180490	18.02405231	0.246249955	0	0
GRMZM2G301194	12.57927375	0.073126105	0	0
GRMZM2G305080	5.809477597	0.080388383	0	0
GRMZM2G305311	3.258867509	0.190127872	0.400385674	0.273569571
GRMZM2G305415	1.513832035	0.05941496	0	0
GRMZM2G305446	1.728529915	0.06662998	0	0
GRMZM2G308906	45.93952412	0.408094767	0	0
GRMZM2G314667	4.11463285	0.10093208	0	0
GRMZM2G316214	2.651961495	0.357789869	0	0
GRMZM2G320013	32.3749642	20.80532952	28.40759357	26.28374046
GRMZM2G324210	2.683207886	0.03328786	0	0
GRMZM2G324231	2.946458566	0.048925784	0	0
GRMZM2G324767	8.28768361	0.499724847	0	0
GRMZM2G326227	1.253894887	0.061516166	0	0
GRMZM2G329073	2.684395924	0.440897454	0	0
GRMZM2G330757	31.52698414	0.441918838	0	0
GRMZM2G333923	19.97341838	0.45673176	0	0
GRMZM2G335738	10.39659905	3.618981809	4.167256468	4.088914181
GRMZM2G337085	5.110519783	0.065561335	0	0
GRMZM2G339907	3.094225907	0.267173154	0	0
GRMZM2G340286	1.528030408	0.706815432	0	0
GRMZM2G342895	1.727079823	0.064988064	0	0
GRMZM2G352255	5.378460369	0.241878654	0	0
GRMZM2G352274	5.174813843	0.111687138	0	0
GRMZM2G352601	15.69689619	0.393999928	1.572091373	1.417288141
GRMZM2G355062	52.65698166	0.789358476	0	0
GRMZM2G359298	0	0.140762715	1.323008484	0.850665713
GRMZM2G361388	51.93581931	0.358181753	0	0
GRMZM2G363437	2.339234786	0.641215569	0	0
GRMZM2G368838	2.592598825	0.187511434	0	0
GRMZM2G371176	6.860171669	0.05588174	0	0
GRMZM2G375975	0	0.935947167	0	0
GRMZM2G376292	3.317629017	0.218414053	0.399765882	0.288320872
GRMZM2G377780	6.234316242	0.983784146	3.056799422	2.758486144
GRMZM2G377787	7.501898339	0.224396116	1.92336278	1.883450159
GRMZM2G378665	3.248198527	0.182159648	0	0
GRMZM2G379575	3.373773213	0.234928118	0	0
GRMZM2G380518	1.748537632	0.075489368	0	0
GRMZM2G387760	2.814239751	0.085562517	0	0.20005938
GRMZM2G390050	3.933772205	0.051652126	0	0
GRMZM2G393529	5.892106318	0.45343863	0.990065401	0.807394388
GRMZM2G393671	56.56737363	31.8364827	42.86884809	40.75181249
GRMZM2G394962	2.653608138	0.106869261	0.217946436	0.138394018
GRMZM2G397651	3.843580023	0.101181912	0	0
GRMZM2G397927	42.8178981	0.567742952	0	0
GRMZM2G399073	151.9983959	19.48042718	22.60437767	21.74962267
GRMZM2G400718	56.96941699	0.53534602	0	0
GRMZM2G403007	2.393481512	0.075980469	0.269482825	0.245983792
GRMZM2G406859	2.435924154	0.29720772	0.35475123	0.312508864
