Gene_ID	PhyB-mutant_58M_6DAP_Means	PhyB-mutant_58M_7DAP_Means	PhyB-mutant_58M_8DAP_Means	Wildtype_100M_6DAP_Means	Wildtype_100M_7DAP_Means	Wildtype_100M_8DAP_Means
Sobic.003G191400	0	0	0	0	0	0.032261338
Sobic.003G191500	32.6796222873	25.6449496685	18.879592265	34.503792469	34.5311975295	33.9398255578
Sobic.003G191600	0.2276797137	0.131264045	0.1525150857	0.0615551419	0.0768797812	0.0228462716
Sobic.003G191700	6.0763719327	9.1385943835	11.0005991609	5.0142061785	6.7804526003	6.7022199996
Sobic.003G191800	0.6068633144	0.8620943884	0.6949860762	0.6014954456	1.6505978147	2.0373230391
Sobic.003G191900	0	0	0.0715755082	0	0.0234900676	0
Sobic.003G192000	45.1752618082	77.2457298049	92.7179309128	49.9600994913	78.6377359586	73.9447248285
Sobic.003G192100	0.0699259666	0.0904603991	0.1799881601	0.0283566321	0.0550071784	0.165015639
Sobic.003G192200	0	0	0	0	0	0
Sobic.003G192300	4.1368063275	3.1245587914	4.6665870057	3.2536841684	2.5294610161	3.8365892512
Sobic.003G192400	1.4716905075	1.4587591549	1.9466684698	1.223164192	1.6159396983	1.6055665532
Sobic.003G192500	0.0358073579	0.0561546419	0	0.0235220769	0	0.1189263865
Sobic.003G192600	0	0.0188650407	0.0232796823	0.0115579919	0	0
Sobic.003G192700	0	0	0	0	0	0
Sobic.003G192800	0	0	0	0	0	0
Sobic.003G192900	0	0	0	0	0	0
Sobic.003G193000	0.0613587227	0	0.0087482834	0	0	0
Sobic.003G193100	0.0154546562	0	0.015042473	0	0.0192518918	0
Sobic.003G193200	6.0002844764	7.6108737635	7.589506896	5.9274902034	6.7586294998	6.2949924346
Sobic.003G193300	1.2080399108	1.0710868471	1.847998063	1.1863628683	0.8265163134	0.9978350628
Sobic.003G193400	0.0582372168	0.1005072191	0.1127662954	0.0885338496	0.1024355404	0.055863153
Sobic.003G193500	20.8131844426	31.8600894592	34.2106540648	19.4767699736	25.9968009569	25.5237258653
Sobic.003G193600	0.0143847933	0	0	0	0	0
Sobic.003G193700	40.5805536854	27.6506080219	26.5397823585	47.1736756165	38.7822237797	37.1506314587
Sobic.003G193800	2.0478181373	1.4613607775	1.6983626321	1.3960380825	1.5459247651	1.8528733858
Sobic.003G193900	0.096447964	0.1263102217	0.1255656185	0.0969868821	0.0837154926	0.2076210392
Sobic.003G194000	4.0048481362	5.270589322	6.7959224542	3.5190509199	5.4044971728	5.687907195
Sobic.003G194100	15.2360382529	15.8027271253	16.0579715362	15.535480916	14.4299863941	15.9060729534
Sobic.003G194200	3.5926594838	3.4194050659	3.5108629857	1.8751939188	2.8339794751	3.4745363427
Sobic.003G194300	70.0105076221	60.0717394232	49.4096921828	67.2023719052	59.2031809989	51.4644157198
Sobic.003G194400	0.1778992665	0.1930344842	0.2265946733	0.1239600897	0.1886980201	0.2400829711
Sobic.003G194500	4.5951307986	4.9541163876	5.8358785169	4.921605532	5.1718486804	5.2968472967
Sobic.003G194600	6.7394587129	5.4415451857	5.7341694488	4.4474535151	4.8250047566	4.9264001312
Sobic.003G194700	0	0	0	0	0	0
Sobic.003G194800	13.6380716705	14.29523105	14.4287547592	13.3765471662	14.9704784071	14.3851504941
Sobic.003G194900	0.0186646854	0.0210042604	0	0	0	0.0165086034
Sobic.003G195000	28.7565484929	26.1926294032	25.9478267998	29.9070065944	31.3068078804	29.8789594897
Sobic.003G195100	2.5232624705	3.4018181953	3.5780449637	2.8604524568	5.3421044997	5.5817561278
Sobic.003G195200	0.0367538079	0.0727078902	0.092172761	0	0	0.0966418937
Sobic.003G195300	5.0087104152	5.1495126762	4.8560434597	3.2686635733	3.6987198953	3.9978795234
Sobic.003G195400	0	0	0	0	0	0
Sobic.003G195500	57.6629951819	59.2794812253	58.0817830734	58.9358087843	58.1285611142	58.273033257
Sobic.003G195600	0.1776930522	0.0629174707	0.0459727242	0.0448821146	0.0802224994	0.0935050015
Sobic.003G195700	0.0650235634	0.1596181438	0.1721244117	0.1310789795	0.1538332904	0.0814746437
Sobic.003G195800	0.4990166626	0.2018713363	0.5189990372	0.3384150053	0.2414676737	0.6009477142
Sobic.003G195900	32.2718038614	30.4547807523	31.7232587425	35.2970102865	34.1829417877	33.2745539906
Sobic.003G196000	17.0955151881	14.8169602348	16.320591808	12.8777932466	14.2505129802	17.2231636768
Sobic.003G196100	1.7827716091	1.9704175843	2.4104620728	3.1806394268	2.6015055218	2.5806075579
Sobic.003G196200	55.6537033145	35.8133721887	26.9146043316	55.1115331713	42.4201306149	37.7037133078
Sobic.003G196300	18.1471095514	16.8313704368	20.20159664	16.1473817587	17.363509784	18.6179668041
Sobic.003G196400	3.7097870971	5.3210814126	5.7533063481	3.3612286714	5.3490492591	5.046513449
Sobic.003G196500	0	0.0552987108	0.1638118314	0.03233314	0.0695790776	0.1381090715
Sobic.003G196600	23.9878100495	20.0535625344	18.9089258437	21.4478905065	19.0000475404	19.079411576
Sobic.003G196700	1.0555341241	2.6117117446	2.8770791561	0.7787418012	1.5468605803	1.5137254489
Sobic.003G196800	388.0552650093	249.0623769665	184.1876473065	398.4465612028	301.3917515371	283.7173798674
Sobic.003G196900	13.7475615922	16.1158108613	17.6062642451	13.8513711706	16.5265001757	15.8351662803
Sobic.003G197000	6.7128540108	10.2243898832	13.0453380259	6.8203395072	9.9486188285	10.6633063807
Sobic.003G197100	16.1225230085	13.4893455008	12.6389860355	16.112073452	16.9798377452	17.7706989408
Sobic.003G197200	83.1158441673	12.6951813117	9.1731302413	75.907322334	132.5407007627	87.3017869739
Sobic.003G197300	0.2092913683	0.1104240678	0.1523111403	0.3001339766	0.6054258368	0.8559032052
Sobic.003G197400	5.0669492662	10.137102122	14.9604697762	6.1616767494	13.1028112536	15.8014228056
Sobic.003G197500	0.0697929065	0.0457369958	0.0754082756	0.0348237498	0.0188383032	0.0688378021
Sobic.003G197600	0	0	0	0.0424945542	0	0
Sobic.003G197700	0	0	0	0	0	0
Sobic.003G197800	21.9181209196	23.2136134035	22.7356984442	19.7473083266	20.0721655196	20.3220774123
Sobic.003G197900	0	0	0	0	0	0
Sobic.003G198000	0	0	0	0	0	0
Sobic.003G198100	0.3332680577	0.6502268768	0.6695950766	0.18958477	0.3180583532	0.4056379556
Sobic.003G198200	12.2440502172	15.9757250272	18.5836897059	9.3922246116	13.3015252466	14.4433368909
Sobic.003G198300	32.767403116	18.3802343302	12.8985059755	40.0064059992	27.304791249	25.9559019676
Sobic.003G198400	1.153532651	0.9658863684	1.3780551817	0.6000646044	0.8280698156	0.8955084223
Sobic.003G198500	2.3440463541	3.4776784744	4.8635575157	1.4043539653	1.7233487842	2.4892598407
Sobic.003G198600	27.3488536274	57.4709518617	59.0173994199	30.9965527608	46.7622945243	45.4260614541
Sobic.003G198700	0.6084993438	0.7521264725	0.7586010164	0.2330735152	0.5096397016	0.7179156635
Sobic.003G198800	16.6311001646	16.3378910559	18.8380593165	14.9212840364	15.805538707	16.7959151292
Sobic.003G198900	6.2402615026	7.2207902706	8.7201972956	6.1857929219	7.0676645709	7.5461430566
Sobic.003G199000	0.0416346748	0	0	0	0	0
Sobic.003G199100	0.0180121643	0	0.0196474451	0	0	0
Sobic.003G199200	7.7932346349	8.7726082901	8.7254333359	7.2619650935	7.8961894966	7.3237270491
Sobic.003G199300	27.4350638049	17.8802795642	17.3208919187	28.3401263305	22.5703135163	21.5080093123
Sobic.003G199400	0.1378409404	0.0786025589	0.1340591203	0.0229764763	0.0199195464	0
Sobic.003G199500	24.2312206863	33.5624204559	35.0514529709	28.0157181262	31.895339317	35.8332095052
Sobic.003G199600	0.0142769747	0	0	0	0	0.0205537569
Sobic.003G199700	12.6889966884	8.8570407764	7.0791627442	12.4855281267	10.5969913729	10.480291215
Sobic.003G199800	3.955094509	6.5527580926	9.3414851105	1.9338239677	3.9986978652	4.9903217958
Sobic.003G199900	7.776607735	11.4792114381	14.1702801723	6.849040297	9.4545054006	10.8704389854
Sobic.003G200000	2.5620323603	4.8263965726	6.6120907665	2.7342597135	3.6638085156	3.8305750101
Sobic.003G200100	3.346034219	4.2308993903	5.4851055784	3.3481678848	3.6282652197	3.8078151403
Sobic.003G200200	44.9023932043	46.1706911423	46.1310918377	43.7962636162	43.3941361835	45.2089173971
Sobic.003G200300	0.0897109073	0	0	0	0.081667977	0
Sobic.003G200400	0	0	0	0	0	0
Sobic.003G200500	607.367468678	410.1797099787	364.7411896301	515.3003134716	409.8518954122	421.6795758738
Sobic.003G200600	18.615403452	14.860300185	13.9436597735	22.116502965	22.969376634	21.3755781549
Sobic.003G200700	0	0	0	0	0	0
Sobic.003G200800	63.6910213191	75.1660844154	72.5630078619	70.5423886814	89.1948065161	85.4168648215
Sobic.003G200900	0	0.1673218905	0	0	0	0
Sobic.003G201000	20.8191807639	17.2111618299	17.7653501987	20.280571272	18.2746328096	25.1431416913
Sobic.003G201100	0.0846244916	0.032608595	0.0503315905	0.0753948419	0.1888297024	0.1276274266
Sobic.003G201200	0.0290614719	0	0.0232147186	0.0833129511	0.1648178165	0.1659136304
Sobic.003G201300	0.077736342	0	0.022162318	0	0.0942580102	0
Sobic.003G201400	0.0382074484	0.0507356055	0.1475647833	0.1278055028	0.1009108607	0.090974976
Sobic.003G201500	22.6333195209	21.091209748	17.1349708765	25.6958164927	24.9391951025	21.7212069702
Sobic.003G201600	0	0	0	0	0	0
Sobic.003G201700	20.201074039	22.2996315007	22.5357554771	20.168195308	21.3736966966	21.8605601956
Sobic.003G201800	0.2110442536	0.4084297477	0.2538824191	0.0925582247	0.1189857602	0.0927261693
Sobic.003G201900	25.1761452934	24.22916376	23.8065941095	25.4185022399	23.6490030769	23.0474538423
Sobic.003G202000	0	0	0	0	0	0
Sobic.003G202100	21.4345564052	18.7449418609	16.8340483709	23.3162575291	23.4566826472	22.4308560373
