test_id	Wild-type plant  post-meiotic anther	hda108 mutant plant post-meiotic anther	Wild-type plant mitotic anther	hda108 mutant plant mitotic anther
GRMZM2G171597	4.05277235021206	3.2271988853119047	5.7506654547658576	3.000856345977966
GRMZM2G171600	3.743116378452039	4.1075372320377195	3.1165227923494503	3.55152832201086
GRMZM2G171604	5.394589594744391	5.6234396541473295	4.5141412013379325	5.309914666453694
GRMZM2G171605	1.2716766616818855	1.1378117029543364	2.037491166845087	1.4464468118751488
GRMZM2G171613	5.442296625486552	5.1816472362885015	5.346616557534913	5.043786310702844
GRMZM2G171616	4.695659817266091	3.6930408378897592	4.732665370601531	3.4911989262880563
GRMZM2G171620	2.3715281963044945	2.400037817925882	2.0859548614197574	2.0067037528786082
GRMZM2G171622	5.689536794216747	4.950197766797632	6.6072459691125065	5.033022074845144
GRMZM2G171628	6.220569868118372	5.825111432253828	6.17030365919389	5.828232978061109
GRMZM2G171644	2.8178626636318755	2.3281356220726077	2.6042706296109297	2.2604472588736853
GRMZM2G171650	4.444898928841149	4.074051525712929	4.069100631922826	3.6807519253943486
GRMZM2G171660	4.026702696270386	4.0757037592193806	3.630824798629844	3.9880483974831935
GRMZM2G171662	3.76217870155722	3.2196672775176323	3.21439994831929	2.778414660969667
GRMZM2G171664	7.591484946344135	6.610202485109421	8.410082415374786	6.823685680626027
GRMZM2G171677	0.5550455305009827	1.352978810127343	0.5283962845914063	1.3579010242214542
GRMZM2G171688	4.571021442195677	4.861419463165294	4.015595691586807	4.298973504133879
GRMZM2G171702	0.6730380460700209	0.4082977399714896	0.25889756362384436	0.05739717309737023
GRMZM2G171707	0.03624645664644361	0.19133523776287303	0.0368663443378913	0.28751839442890953
GRMZM2G171713	3.4644983744322944	3.687284691917842	3.382050206149225	3.5195419045784364
GRMZM2G171716	0.9374521194026838	1.4588124384588663	1.2237129132908764	1.1937969706303817
GRMZM2G171723	4.659587814170758	4.943677575806818	4.291353068397001	4.855421673779036
GRMZM2G171736	0.0	0.0	0.1997458320835226	0.06164170103978
GRMZM2G171745	4.407495517854615	4.244651156154847	4.56753327911199	4.1759556685716985
GRMZM2G171752	6.882740855879684	5.5246623753185835	6.9881961325102155	4.664380437240175
GRMZM2G171781	0.234203308573567	0.6306291277948226	0.07075998419867122	0.16875113203742773
GRMZM2G171796	0.02070984777686399	0.05065144438035373	0.08652604138201214	0.033318119302132104
GRMZM2G171801	2.062080254558094	2.0077301325821386	1.416120917020458	1.879980165872454
GRMZM2G171807	0.5614747367777022	1.5715020743383765	0.4707430054340805	1.5646074205672358
GRMZM2G171818	3.912918070118904	3.5611305863896225	3.2504477492503963	2.780221896650382
GRMZM2G171822	0.7017805792753171	0.5352019567408532	0.5880062595683795	0.2905282081140862
GRMZM2G171830	0.0	0.1875473360597571	0.0	0.0
GRMZM2G171847	3.6629118598207318	3.2586365063493026	3.3019914276499414	3.102651413326952
GRMZM2G171852	1.087754745302258	1.074436930699148	1.1124799590184566	0.9497881527966183
GRMZM2G171871	2.2887985392345387	2.399873809144789	2.498899296193514	2.5294961474498243
GRMZM2G171880	1.8123257077117572	2.134572533291124	1.3265488528392226	2.166320175923693
GRMZM2G171884	4.47218880367726	3.637447954190593	4.794556229850025	3.9197691083787927
GRMZM2G171912	5.485642571233844	5.564530600816343	4.988239313737808	2.2132912838580334
GRMZM2G171921	4.2723591813866495	4.505675017309214	3.6869262694965985	4.2667115935512765
GRMZM2G171934	3.9207220428174083	1.9214820331987947	3.4376578728078826	1.2362599315580773
GRMZM2G171942	1.6596734345626478	2.4605459979414093	1.3811116788086868	2.6795566658738728
GRMZM2G171953	0.0	0.0	0.0	0.0
GRMZM2G171961	1.7471682394567032	2.4568403110036634	1.6816111799121949	2.251116139721702
GRMZM2G171967	1.9858464898799146	2.1419885727029437	1.596758669721699	1.6849937350468853
GRMZM2G171987	2.9063384186496077	2.8490084421282327	2.27468508789061	2.6826766643171562
GRMZM2G171994	0.8470291748851122	0.6417180324731698	0.5303125032691463	0.4727934344617686
GRMZM2G171996	3.8926727368326652	3.2251638541192245	5.284743607738843	2.524201618117084
GRMZM2G171998	2.2576955848100493	2.4997974244689747	2.074162875507007	2.478899344987034
GRMZM2G172001	4.566047947625082	4.202104228518562	4.200347407411002	3.9715251609087012
GRMZM2G172011	4.047119548568551	3.966670404307121	3.91558782342299	3.4173516187158057
GRMZM2G172014	0.8200188016086385	0.7294527082250397	0.8024844154537558	0.24159737555349786
GRMZM2G172021	3.6249664859448187	2.8114237619692495	3.136611400130757	2.789514343700814
GRMZM2G172032	2.2652238367485693	2.9690878489570443	1.9998593303757577	2.746865227884091
GRMZM2G172043	1.0629851358613258	0.8346853303797311	0.8087565405610541	0.616525201764885
GRMZM2G172053	0.11397834453992466	0.04083212718805134	0.0	0.03277497802087526
GRMZM2G172065	2.99398587054938	2.56993578957452	1.9664009338404298	1.8213428626011776
GRMZM2G172081	5.792131741591074	3.418026640199973	7.346230041733868	4.450155497359193
GRMZM2G172086	0.0	0.1437016483535271	0.2822761024688072	0.025467562274600928
GRMZM2G172098	3.712936880823994	3.624791070206835	3.742696124223605	3.164029984193937
GRMZM2G172099	0.0	0.0	0.07606675729155984	0.10496647678674036
GRMZM2G172101	3.6749238486282776	3.5932940060704563	3.255928190964384	3.235292041613744
GRMZM2G172132	4.4780204772244705	3.8651071940246773	4.139109267467669	3.6695143866062914
GRMZM2G172138	4.276772076484393	4.281861424885517	3.3159516317098423	3.824900204415428
GRMZM2G172139	0.0	0.0	0.0	0.0
GRMZM2G172152	3.877263271434499	4.124071669855441	3.1921136625481985	3.9398753624506733
GRMZM2G172153	0.0	0.0	0.0	0.0
GRMZM2G172158	1.2201194174949512	0.6763062286990078	1.2050483772942955	0.9347806726970166
GRMZM2G172159	0.0	0.0	0.0	0.06293693588715214
GRMZM2G172174	0.0	0.0	0.0	0.0
GRMZM2G172183	0.8420238236359036	1.665533758939088	1.0426373340175101	1.5219050419469173
GRMZM2G172192	0.02487678952248788	0.16435765297095709	0.0	0.05693028838267172
GRMZM2G172204	4.891132369228786	5.2122969597072455	4.505039793430581	3.765078528010258
GRMZM2G172210	4.376505715620855	4.223244905240631	4.684577520317323	4.198541299765487
GRMZM2G172214	7.1525687894841905	8.046125407137742	6.418598136453033	7.812729243408553
GRMZM2G172230	4.0331762906049535	4.601809408298579	4.304985534509803	5.123819296741244
GRMZM2G172239	5.996153701793946	6.359765370592311	5.464968797166158	6.281327329659484
GRMZM2G172244	7.774464228703203	6.802684373573611	8.315104264997599	6.7972464887102
GRMZM2G172248	0.0	0.0	0.0	0.0
GRMZM2G172258	4.334718429409549	4.388878338811989	4.040077068820055	4.139485866882361
GRMZM2G172264	0.0	0.5228903820456807	0.0	0.0
GRMZM2G172274	4.030150652772004	4.908649610777194	3.6673471807656144	4.655414802021675
GRMZM2G172297	0.10557644208027875	2.0133622056593943	0.17949576335564954	0.6808473234001164
GRMZM2G172300	0.0	0.08767247506772717	0.0	0.0
GRMZM2G172320	0.14793704809529548	0.24117755073102237	0.15328262917271618	0.22728885374938007
GRMZM2G172322	4.124220590652555	4.009266542488976	3.3307433858448627	3.5682996962340483
GRMZM2G172327	0.0	0.11743693008172695	0.0	0.38806055693431524
GRMZM2G172330	2.9630301495011904	3.211460823693259	1.8400401827266069	2.8840351894932743
GRMZM2G172342	8.40374916533199	8.005197852546488	7.999131867620335	6.855478984541683
GRMZM2G172357	8.316801939614608	7.743420716937922	8.496262600596008	7.60624233350546
GRMZM2G172365	0.0	0.0	0.0	0.0
GRMZM2G172368	0.0385602171926416	0.36669988859949043	0.040223341825979884	0.3358342255546952
GRMZM2G172369	5.721870243290159	6.35974956032233	4.405488689534774	6.09876903815488
GRMZM2G172376	7.273254778554164	4.739945286966122	8.817981328862082	5.830513939369436
GRMZM2G172386	0.0	0.03177501832317523	0.0	0.05876173990204625
GRMZM2G172396	0.9508707449154202	2.435873911352434	0.7945198406242954	2.120627313550066
GRMZM2G172410	1.5318181021214015	1.494963397672068	0.9445863690889317	1.406438709464347
GRMZM2G172413	2.774959909145156	2.8262169471136827	2.894813883786651	1.9370166409066913
GRMZM2G172427	3.528696330355684	3.519076362814409	3.024589184068179	3.5104809407628763
GRMZM2G172429	2.278133471081237	3.8376102738453386	1.9259045012864835	2.7098706854547423
GRMZM2G172442	7.197265847129269	6.148978832258719	7.396022448461236	6.277469672727086
GRMZM2G172443	0.0	0.0	0.0	0.0
GRMZM2G172448	4.370199161526681	3.5890803217933223	4.993475105738242	4.200245383331409
GRMZM2G172450	0.0	0.037237136873006636	0.0	0.12239985636628037
GRMZM2G172451	1.5514471111446995	0.8220342238708193	1.076251232618599	1.2480186281478391
GRMZM2G172485	5.783726414158742	6.085205804844301	4.31589223444723	4.476388168662474
GRMZM2G172487	0.0	0.2935894323205794	0.0	0.0
GRMZM2G172491	0.09491651003426249	0.22236191831883606	0.03714954450359396	0.07007148777471527
GRMZM2G172506	0.7438932031427812	0.7345487880169823	0.6869639080351648	1.1635824576905653
GRMZM2G172512	2.6580812057929357	3.329472384867518	1.5480666554567049	3.033643243510382
GRMZM2G172523	2.547526329931711	3.038307991031702	1.6199481993067768	2.7107524435286434
GRMZM2G172529	1.9593881056854248	2.195996350204288	2.0248480031957983	1.487584103546548
GRMZM2G172537	0.640508025096533	0.9913975818821731	1.097395050395889	0.20240392931331774
GRMZM2G172555	0.0	0.0	0.0	0.0
GRMZM2G172574	0.0	0.0	0.0	0.09835541260338074
GRMZM2G172575	0.0	0.0	0.0	0.0
GRMZM2G172581	3.897056446020304	3.766584561432863	3.2222898832950935	3.246003650288002
GRMZM2G172584	2.8654695103369074	3.1978575300908156	2.2385453713513503	3.1773469778233028
GRMZM2G172586	0.0	0.0	0.0	0.0
GRMZM2G172596	8.281600892714117	8.174780906530186	3.9746486143927866	5.791084726887005
GRMZM2G172602	0.0	0.1746838086298921	0.0	0.08261458088611051
GRMZM2G172605	0.46104548484051205	0.43495428990232965	0.27741826674664544	0.050338699396902796
GRMZM2G172621	1.9561979403689145	2.1072325619174075	1.6107898144371182	1.6417448483575303
GRMZM2G172642	2.5967062007121635	3.7991805807553	1.7429935475698923	3.3657919045048708
GRMZM2G172647	3.2888103488495064	3.1402616792294005	2.767048781426531	3.016209249936382
GRMZM2G172652	3.747365914830926	3.8515191911699036	3.6908305120210265	3.0317180725602757
GRMZM2G172657	3.2941310683973284	2.783584469173892	2.5436641467910155	1.3826561869688279
GRMZM2G172664	10.550121482040014	7.8923849539518	12.072089047923274	9.785720547484187
GRMZM2G172686	0.0	0.0	0.0	0.0
GRMZM2G172695	2.862068473352243	2.632230984179342	3.644802287435432	2.1018584652664436
GRMZM2G172710	2.4206494739553093	2.8790666049041262	2.9867494965045878	2.8722811208345957
GRMZM2G172723	1.827721487007613	2.52454766993588	1.4138215164021517	1.128115198027687
GRMZM2G172726	3.9721228147767866	4.203287308171221	3.6607004831152343	4.303057393148677
GRMZM2G172734	0.08182294477593006	0.022552892271455464	0.0	0.03787304140972478
GRMZM2G172751	7.290903551484996	2.5138444278105005	9.170881471650638	4.749695154055789
GRMZM2G172758	0.25263485645167066	0.07503432758782247	0.47967861712715326	0.10152516260737648
GRMZM2G172774	0.0	0.48452486087584906	0.0	0.03562686549314316
GRMZM2G172787	1.266102878538093	1.835366286003641	0.5733570743842477	1.458413503703855
GRMZM2G172794	1.1905832564670478	1.2432303569896344	0.2823199955514301	1.156564888843365
GRMZM2G172795	0.08751565989483288	0.06040465727899241	0.08427493732307108	0.0
GRMZM2G172800	0.0	0.0	0.0	0.0
GRMZM2G172826	6.167614840755111	6.549706130843337	5.945855808913958	6.880856914694849
GRMZM2G172829	4.826645087425138	4.885486511524945	6.05881650280413	5.096097364300842
GRMZM2G172834	2.2565125308078615	1.2274884896954754	2.5011486660550744	1.082784326110583
GRMZM2G172883	4.958285900923258	5.107758998116883	4.621536165228007	5.043585108985671
GRMZM2G172891	2.6432143362617313	2.851457225271619	2.2692217021568983	2.9340201064579485
GRMZM2G172900	5.800827439874396	5.444696879757986	5.499667332559627	4.570608650438405
GRMZM2G172904	4.156962839322897	2.9003084554398773	3.393889790212072	2.2934146296444182
GRMZM2G172917	2.5294961474498243	2.524570235649788	2.113750499281675	3.1247268064094977
GRMZM2G172930	2.8445784815577935	3.3662424703524314	2.0919570424640397	2.1745214715881107
GRMZM2G172932	4.521069587322771	4.709996368911401	4.185081569108622	3.746699726608023
GRMZM2G172936	1.4048431902150793	1.1834738104295142	0.0	0.7331903196435996
GRMZM2G172945	0.7632271356859675	0.6027352631516378	1.386844048081933	0.5070405636594654
GRMZM2G172956	1.1441899791697416	1.535286575935064	0.7399301698434784	0.9892894468157151
GRMZM2G172980	2.563992747996947	2.8936398494453224	2.0648414735046434	3.0075058986600176
GRMZM2G172982	0.0	0.0	0.0	0.0
GRMZM2G173023	0.0	0.0	0.0	0.0
GRMZM2G173030	3.7194901312002937	3.8975889540862854	3.4692868990938712	3.911921627855748
GRMZM2G173035	3.293129131921863	3.606762001935525	3.150450820478011	3.254388447364241
GRMZM2G173040	6.093490456611712	6.551502175071874	5.849891703642178	5.869005233147737
GRMZM2G173049	0.0	0.9077275006603354	0.7172532984134665	0.0
GRMZM2G173055	0.0	0.0	0.0	0.0
GRMZM2G173063	0.0	0.7704358184142702	0.6331847337432762	0.6610901137570169
GRMZM2G173067	4.3211127418303255	4.98417917660259	4.577422785321351	5.537063054889594
GRMZM2G173084	3.9785709012802695	3.0872710349245533	4.09855430722073	3.3682137895372306
GRMZM2G173085	3.538935408773331	4.8095636453514725	3.8293218955533117	5.398285376455545
GRMZM2G173090	0.0	1.0217142351300417	0.0	0.08676216630885651
GRMZM2G173103	1.6106055799944583	1.0760185818085144	1.2090540347671381	0.39678642089220806
GRMZM2G173105	0.10895166542842832	0.0	0.0	0.0
GRMZM2G173119	3.534484983241805	3.6584857115861675	3.3089301864196057	3.908274918479059
GRMZM2G173124	0.994524694396799	0.5206495415257006	0.7980571526014617	0.2138884825002157
GRMZM2G173128	0.24576093368055024	0.12280932944783589	0.0	0.0
GRMZM2G173137	2.7640276160637978	2.276913483245923	2.153442185108503	1.6284749952399789
GRMZM2G173162	0.7858878037467083	1.1136738317271193	0.5914611293745344	1.4701567816947005
GRMZM2G173186	2.1424232409777457	2.4455572138008126	1.974342080367832	2.748175671350889
GRMZM2G173192	0.16636067187780043	0.2639514279249043	0.4718741706705349	0.10081298949612157
GRMZM2G173195	1.2003913540219975	2.297250121171707	1.260790473116339	2.2069682313155132
GRMZM2G173198	0.11493559463105245	0.09575607888239822	0.0	0.05268660014543718
GRMZM2G173209	4.201641701882262	3.554330985264559	3.5108353615299506	3.210315605598688
GRMZM2G173218	0.0	0.0	0.0	0.0
