locusName	total.leaf_rpkm	Mesophyll.cells_rpkm	Bundle.sheath.cells_rpkm
Sobic.004G250700	2.002442841783275	1.9745622819104702	1.483753172419417
Sobic.004G250800	0.0	0.0	0.0
Sobic.004G250900	0.028705825519359643	0.223871523377309	0.06355004104358311
Sobic.004G251000	0.0	0.0	0.0
Sobic.004G251100	0.0	0.0	0.0
Sobic.004G251150	0.0	0.0	0.0
Sobic.004G251200	4.783768813192869	1.2425292819244913	4.615450646791928
Sobic.004G251300	1.5830524070112277	0.6739591302462229	2.6365294005726514
Sobic.004G251350	0.25248695634497254	0.0	0.28011770996697577
Sobic.004G251400	0.0	0.0	0.0
Sobic.004G251500	1.7529460528773937	3.374295349501262	0.250611507789194
Sobic.004G251600	0.0	0.0	0.0
Sobic.004G251701	0.0	0.0	0.0
Sobic.004G251800	0.0	0.0	0.0
Sobic.004G251900	0.0	0.0	0.0
Sobic.004G252000	4.085358015052302	1.9431218043784153	1.3670055612128724
Sobic.004G252100	4.682947466387761	1.1845076579380374	1.6868913319886374
Sobic.004G252200	2.166107376716915	2.430360745902482	4.8947915278419325
Sobic.004G252250	0.3977728407036568	0.0	0.0
Sobic.004G252300	0.562469068494884	2.535354230387947	0.6624649936776634
Sobic.004G252400	4.353214506161537	7.297985257361367	4.336973913547893
Sobic.004G252500	3.910596029143168	3.542393490802033	4.32294580461875
Sobic.004G252600	0.3520667445392825	0.0	0.0
Sobic.004G252700	0.19314064656918592	0.0	0.0
Sobic.004G252800	0.0	0.0	0.15654094101745988
Sobic.004G252850	0.0	0.0	0.0
Sobic.004G252900	5.339528372499937	4.414056333484368	5.245267142455101
Sobic.004G253000	7.094450956698045	5.869745627686017	6.849523614454887
Sobic.004G253050	5.148035322035871	2.058873591825422	4.934982249887769
Sobic.004G253100	2.9739888768266654	0.8830547230700025	1.822449385834124
Sobic.004G253200	0.0	0.0	0.0
Sobic.004G253300	0.10577198677679236	0.5622292631182809	0.32848676701887
Sobic.004G253400	1.91985428630858	0.0	1.4986767393096272
Sobic.004G253500	0.1012918936831625	0.0	0.9839866245203469
Sobic.004G253601	0.2977192659480408	0.9688138431482182	0.0
Sobic.004G253700	0.19406359047575922	0.0	0.0
Sobic.004G253800	2.0057176640365157	1.3506229857728085	2.147665392845955
Sobic.004G253900	3.816247526164603	2.60761149344583	1.517982214959976
Sobic.004G254000	0.0	0.0	0.0
Sobic.004G254100	0.11843070001862174	2.2912004932988896	0.0
Sobic.004G254200	0.0	0.0	0.0
Sobic.004G254300	0.0	0.0	0.0
Sobic.004G254400	0.0	0.0	0.0
Sobic.004G254500	0.0	0.0	0.0
Sobic.004G254600	1.5980024253023295	0.23895778559383676	1.402252240077946
Sobic.004G254700	0.0	0.0	0.0
Sobic.004G254800	6.4334429268027495	4.956555080650457	5.2405370921106
Sobic.004G254900	0.5380923362506979	0.11877948182966888	0.0
Sobic.004G255000	0.36382450894940394	0.0	0.0
Sobic.004G255100	0.7049423343949095	0.0	0.26508221232722207
Sobic.004G255200	3.6805178956933737	0.9136093154301053	1.565576489116176
Sobic.004G255300	0.40871637331601435	0.0	0.37134565583966833
Sobic.004G255400	2.387629044477119	0.0	1.276695940320907
Sobic.004G255500	4.7530647156823465	2.0731156107367013	4.539173021429071
Sobic.004G255550	1.222424039918877	0.48312510633168654	0.8904083871101676
Sobic.004G255600	1.000609761073832	0.0	0.19496330894613417
Sobic.004G255700	5.4990873019552895	3.993157501790131	5.10011451417963
Sobic.004G255800	0.48409240155657685	1.3062757413767732	0.3503931395853055
Sobic.004G255900	0.0	0.0	0.0
Sobic.004G256000	4.296534566365393	1.464300323443139	2.3323505446271224
Sobic.004G256100	0.0	0.0	0.13405044979916472
Sobic.004G256200	1.8169948898215509	0.8023424411854553	3.9040630180629217
Sobic.004G256300	3.9419011615580892	0.9895326516906284	3.4732592211541937
Sobic.004G256400	0.0	0.0	0.0
Sobic.004G256500	4.88523208048841	2.7481615047330994	4.331031709202301
Sobic.004G256550	0.2503060179564103	0.0	0.0
Sobic.004G256600	5.348325098510665	3.34216447070746	4.178898759853411
Sobic.004G256700	5.914450958929699	4.481936957249124	5.8420277655002355
Sobic.004G256800	0.0960738019017209	0.0	0.0
Sobic.004G256900	0.20211263979960656	0.09731938459648504	0.45883360726397837
Sobic.004G257000	4.731398849705085	4.407820642834139	3.9767700087853557
Sobic.004G257100	7.123012216366526	5.519111421137612	5.890626495463329
Sobic.004G257200	3.4078545474171076	2.811082543892404	3.3647983679599784
Sobic.004G257300	5.10369649089326	4.106828954903497	3.355572271306468
