Gene_ID	Bundle.Sheath.Cells	Mesophyll.cells
GRMZM2G352415	5.327912849657171	4.471908052303681
GRMZM2G072890	5.20733103851818	3.3198516377913547
GRMZM2G021706	8.509153902592002	6.070529480783075
GRMZM2G054252	8.275257969893662	7.932203838583241
GRMZM2G360339	8.16830315704754	7.159596448872347
GRMZM2G347043	7.9605310699959295	7.69229673579801
GRMZM2G173669	7.466007249410628	5.98328643844391
GRMZM2G102737	6.849901743766121	5.575547435174719
GRMZM2G480516	6.598121585465515	3.4736336259015257
GRMZM2G099907	6.372418914257542	5.685637958083084
GRMZM2G322817	5.930052448097188	5.115142529987267
GRMZM2G159500	5.61511780057042	4.608811929396902
GRMZM2G425482	5.152828379412164	3.7673692499545486
GRMZM2G128515	5.1347002830904165	3.521455383390111
GRMZM2G068973	5.069395664167202	3.4736336259015257
GRMZM2G081175	5.004220409902778	3.2317220874279493
GRMZM2G110289	4.98421879434877	3.5768245799418605
GRMZM2G088053	4.913324276628839	1.9709735074721988
GRMZM2G434557	4.746279313153956	2.709540054854921
GRMZM2G033867	4.564794888825616	2.312853253709505
GRMZM2G166721	4.2861110247710394	1.6821077348836906
GRMZM2G083347	4.2640431515008235	3.1354585504225603
GRMZM2G168502	4.048589280324848	2.534143624999203
GRMZM2G079470	3.6224062215524953	1.1606120012833125
GRMZM2G180328	3.2943357001074056	0.8369271677814899
GRMZM2G104608	7.707688436825278	7.395380968057056
GRMZM2G055704	7.2649377340880825	3.7393322677806737
GRMZM2G132690	6.300385257921154	4.808989007320877
GRMZM2G169333	5.667545797032919	4.72570023260284
GRMZM2G095865	9.688396577112444	7.857780798041024
GRMZM2G467799	6.031513157539296	5.301531848646011
GRMZM2G096228	5.327912849657171	2.397301432310058
GRMZM2G132704	5.267125726583398	3.718830186044033
GRMZM2G043191	4.559783993231051	3.5056902735098188
GRMZM2G381168	3.5190270170759885	1.297498651534105
GRMZM2G171370	3.4971432771010096	1.841315010005953
GRMZM2G305027	9.57508893781818	9.306132020466325
GRMZM2G069911	7.689175653545942	5.311540721825866
GRMZM2G141432	6.753720485346425	6.299095626384032
GRMZM2G073275	5.815375261310078	4.101024867983339
GRMZM2G151826	5.283353055285175	4.180214173794778
GRMZM2G401308	4.9706565516391095	3.5308324148025925
GRMZM2G016232	4.656660770924644	2.7413908410939674
GRMZM2G112912	4.161287140214992	2.6705205665560623
GRMZM2G045070	7.25389949763029	5.576679662869454
GRMZM2G142984	7.130858683145727	6.424347663387468
