Gene_ID	10-oxo-11-phytoenoic.acid_Leaf	cis-12-oxo-phytodienoic.acid_Leaf	Dimeythl.sulfoxide_Leaf
GRMZM5G827951	0.0	0.0	0.0
GRMZM5G828024	4.147937536379015	4.114152520569117	4.020786640921987
GRMZM5G828028	0.0	0.0	0.0
GRMZM5G828060	0.0	0.0	0.0
GRMZM5G828123	0.11396114741139642	0.22159717418014843	0.131851858448325
GRMZM5G828139	3.0770284590149903	3.1840695884208907	3.3383060276342476
GRMZM5G828179	0.0	0.0	0.0
GRMZM5G828182	5.548226987109223	5.8178796712091145	5.972095810760265
GRMZM5G828229	5.755609336987549	5.767170773367728	5.89676711492188
GRMZM5G828278	1.3626683596367357	1.4209660489838885	1.2330649617290679
GRMZM5G828284	0.11318106211772128	0.06223571347711791	0.4268626446644583
GRMZM5G828302	5.639519428954976	5.5886104579972695	5.812350611082971
GRMZM5G828312	6.6392173280765245	7.099087391624405	6.920975655543765
GRMZM5G828362	0.534086261535142	0.18872114330652795	0.3952158377563422
GRMZM5G828387	0.0	0.011439318244601409	0.01185415696094683
GRMZM5G828396	3.11168113019357	3.7021893117672113	3.155376855338806
GRMZM5G828422	0.12684602034921397	0.1860304642045006	0.8245754130947992
GRMZM5G828460	0.807245685297636	0.6892890951865414	1.1795873231917513
GRMZM5G828466	0.0	0.0	0.0
GRMZM5G828487	0.8377228861844637	0.6225101282154006	0.0
GRMZM5G828488	0.3070431721470438	0.0757965021418216	0.23592645040525267
GRMZM5G828581	0.9063189827880653	0.901072126903466	1.1295713622566168
GRMZM5G828603	0.02448064348963423	0.06306471753781788	0.1003812777887211
GRMZM5G828614	0.0	0.0	0.0
GRMZM5G828630	9.2347527777747	9.326508136577253	9.063028293497505
GRMZM5G828661	1.8827672625027034	1.4059896376071541	1.2021512568199915
GRMZM5G828783	0.0	0.0	0.0
GRMZM5G828820	4.778989124004276	4.886928085867919	2.2930415581536288
GRMZM5G828883	0.0	0.0	0.0
GRMZM5G828886	0.030303763052801434	0.0	0.032602700866812204
GRMZM5G828887	0.0	0.0	0.10088482799508992
GRMZM5G828945	0.419329887841342	0.21562206794450864	0.29694509535409286
GRMZM5G828987	0.0	2.4994689404079215e-07	0.10642973265037017
GRMZM5G829103	0.6669274332132564	0.36624777555673027	0.7507829187175863
GRMZM5G829145	0.09994250427506346	0.0	0.1980883189383492
GRMZM5G829285	0.0	0.0	0.0
GRMZM5G829293	0.0	0.0	3.8231418036846497e-08
GRMZM5G829297	4.162010588311135	4.184587766783348	4.021837247611184
GRMZM5G829304	1.1233463713297398	0.777556385356807	0.8807621476688753
GRMZM5G829337	1.9092066655625048	1.9447591400039013	3.1436440235544487
GRMZM5G829396	0.26423615104354714	0.4327642268230389	8.620100292923251e-07
GRMZM5G829408	0.09574939613121118	0.05422425049759276	0.08223353502602564
GRMZM5G829476	0.0	0.0	0.0
GRMZM5G829516	0.0	0.0	0.0
GRMZM5G829529	0.0	0.0	0.0
GRMZM5G829544	3.5690107009905176	3.8310614421060034	2.502951748584167
GRMZM5G829554	4.198517726894872	4.567816170931174	4.464813639953684
GRMZM5G829563	2.614998943010583	2.2520204745762222	3.1631943816970876
GRMZM5G829597	0.0	0.0	0.0
GRMZM5G829663	0.0	0.1580768402862127	0.0
GRMZM5G829728	0.0	0.0	0.0
GRMZM5G829738	4.22304985706917	4.269669049228023	3.836661397979594
GRMZM5G829778	5.193384410565139	5.61303284092841	4.033107997087855
GRMZM5G829831	1.2752231374944931	1.3631752832211035	1.0499086514184515
GRMZM5G829840	5.903431799265767	5.145765073843907	6.30617837663046
GRMZM5G829894	5.250900007633427	5.373732592259999	5.113987976175454
GRMZM5G829897	1.9032358556554931	1.084143032426374	0.35741887575442155
GRMZM5G829928	3.293219275836824	3.294088783382107	4.216765255645285
GRMZM5G829946	3.903017536044549	4.163966807662745	0.9416859024368472
GRMZM5G829955	1.98320158149723	1.8159821541467043	2.30825820054414
GRMZM5G829967	0.0	0.0	0.0
GRMZM5G830085	0.0	0.0	0.0
GRMZM5G830210	1.7754519953452381	2.8876826913751135	1.7760629180677165
