Gene_ID	Pericarp_14 DAPollination_Prr	Pericarp_14 DAPollination_Pww	Pericarp_25 DAPollination_Prr	Pericarp_25 DAPollination_Pww
AC155390.2_FG002	2.7335777783318216	0.0	0.0	2.4264848327865276
AC155434.2_FG001	3.4619868592786975	0.0	0.0	3.6119159673319636
AC155434.2_FG003	4.492891462991958	5.101032294229284	5.652779019721167	5.319953859227443
AC155434.2_FG004	4.147852084211889	4.176466396634608	4.767728943654229	3.891088612375925
AC155434.2_FG005	0.0	0.0	0.0	0.0
AC155434.2_FG006	1.0195097794981178	3.718142396560622	3.2430063735210317	4.955833537989571
AC155496.2_FG009	3.952081911566439	4.86053578431371	4.572804801510301	5.60320793984531
AC155610.2_FG007	0.0	0.844907837395157	0.0	1.7332241667676205
AC155610.2_FG009	6.338805897633144	6.532675406437016	0.0	6.13607036351412
AC155622.2_FG001	6.742679958154416	7.024707519807542	6.646786211433981	5.614930647886915
AC155622.2_FG004	5.893900936376684	5.59450077740045	4.898725926891016	4.480232803255172
AC155624.2_FG006	4.776914618086417	4.867288625380569	5.551759009760872	5.493471212990936
AC155624.2_FG011	0.0	3.3011061801994535	4.815928886831391	0.0
AC159612.1_FG007	1.2452461663563976	1.8959462610071425	0.0	1.061278511547545
AC165171.2_FG002	0.0	2.5292712437059315	0.0	0.0
AC165178.2_FG004	4.350758888634577	2.023652792863476	2.080166449502928	3.4525453585583628
AC166636.1_FG007	3.2117645045410406	0.7666918328384364	0.5775839962716675	0.0
AC166636.1_FG008	5.823433481476577	4.713200903158987	4.633733435514965	5.27060742883605
AC166636.1_FG009	3.56968551215184	0.0	0.0	0.0
AC177831.3_FG004	0.0	0.0	0.0	0.0
AC177833.2_FG001	0.0	0.0	0.0	0.0
AC177837.3_FG002	0.0	0.0	0.0	0.0
AC177838.2_FG015	0.0	2.534597033841135	1.2122020040320383	1.9911544647699622
AC177844.2_FG003	0.0	0.0	0.0	0.0
AC177850.2_FG003	0.0	0.0	0.0	0.0
AC177850.2_FG005	5.403346127547922	5.05921248943146	0.0	4.031580461995999
AC177860.4_FG002	0.0	0.0	0.0	0.5681479049870262
AC177890.3_FG005	0.0	0.0	0.0	0.0
AC177893.3_FG003	0.0	0.0	0.0	0.0
AC177893.3_FG006	0.0	0.0	0.0	0.0
AC177897.2_FG002	0.0	1.8888386949318139	4.057996053544543	0.0
